Protocol,Token(s),Chains,Num_Chains,Tags,Pendle_APY,DeFiLlama_APY,Portals_APY,TVL
wstUSR,wstUSR,"9745,ARB,ETH",3,"points,stables",,,,
wVLP,wVLP,999,1,"points,stables",,,,
xHYPE,xHYPE,999,1,stables,,,,
YieldFi,"vyUSD,yUSD",ETH,1,"points,stables",9.8%,,0.6%,
YieldNest,ynUSDx,ETH,1,stables,5.1%,5.1%,5.1%,
ynRWAx,ynRWAx,ETH,1,"rwa,stables",,,,
yoEUR,yoEUR,BASE,1,"points,stables",,,,
yoUSD,yoUSD,BASE,1,"points,stables",,,,
ysyBOLD,ysyBOLD,ETH,1,stables,,,,
YU,YU,"BASE,ETH",2,"points,stables",,,,
yvBal-GHO-USR,yvBal-GHO-USR,BASE,1,"points,stables",,,,
yzUSD,yzUSD,9745,1,"points,stables",,,,
